"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0.05,0.068,0.083,0.062,0.108,0.055,0.055,0.355
"2",0.074,0.065,0.06,0.05,0.145,0.067,0.067,0.704
"3",0.101,0.113,0.092,0.081,0.197,0.095,0.042,0.838
"4",0.094,0.124,0.122,0.089,0.243,0.111,0.048,0.921
"5",0.153,0.105,0.121,0.115,0.347,0.118,0.05,0.976
"6",0.136,0.131,0.118,0.087,0.395,0.139,0.059,0.994
"7",0.165,0.164,0.136,0.097,0.434,0.14,0.057,0.991
"8",0.181,0.161,0.134,0.114,0.49,0.185,0.075,0.998
"9",0.212,0.2,0.148,0.131,0.577,0.213,0.041,1
"10",0.202,0.213,0.165,0.193,0.594,0.178,0.067,1
"11",0.251,0.232,0.203,0.129,0.594,0.209,0.061,1
"12",0.247,0.274,0.189,0.223,0.615,0.265,0.052,1
"13",0.24,0.302,0.216,0.171,0.693,0.262,0.052,1
"14",0.276,0.32,0.234,0.213,0.781,0.285,0.059,1
"15",0.312,0.312,0.278,0.208,0.806,0.307,0.069,1
"16",0.323,0.349,0.284,0.206,0.816,0.323,0.051,1
"17",0.358,0.306,0.315,0.224,0.807,0.335,0.062,1
"18",0.301,0.361,0.285,0.23,0.835,0.39,0.078,1
"19",0.34,0.376,0.338,0.24,0.893,0.382,0.093,1
"20",0.381,0.369,0.315,0.321,0.856,0.41,0.063,1
"21",0.433,0.452,0.345,0.27,0.897,0.427,0.063,1
"22",0.414,0.423,0.37,0.353,0.929,0.417,0.064,1
"23",0.436,0.409,0.405,0.297,0.931,0.443,0.049,1
"24",0.447,0.477,0.406,0.341,0.943,0.466,0.088,1
"25",0.532,0.515,0.391,0.348,0.942,0.488,0.069,1
"26",0.457,0.484,0.401,0.364,0.952,0.485,0.057,1
"27",0.499,0.55,0.434,0.423,0.95,0.54,0.064,1
"28",0.498,0.572,0.451,0.4,0.97,0.551,0.075,1
"29",0.528,0.554,0.448,0.41,0.976,0.578,0.075,1
"30",0.631,0.597,0.456,0.384,0.99,0.628,0.085,1
