"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0.051,0.054,0.054,0.067,0.043,0.048,0.043,0.091
"2",0.049,0.066,0.052,0.049,0.049,0.038,0.037,0.217
"3",0.042,0.071,0.063,0.059,0.063,0.061,0.044,0.305
"4",0.052,0.067,0.067,0.043,0.074,0.068,0.046,0.452
"5",0.05,0.062,0.064,0.059,0.106,0.036,0.058,0.59
"6",0.072,0.064,0.067,0.055,0.142,0.073,0.044,0.77
"7",0.072,0.073,0.062,0.069,0.154,0.071,0.038,0.817
"8",0.065,0.06,0.072,0.047,0.163,0.048,0.046,0.848
"9",0.076,0.071,0.055,0.071,0.171,0.062,0.058,0.91
"10",0.077,0.087,0.065,0.07,0.18,0.064,0.059,0.972
"11",0.074,0.068,0.074,0.069,0.183,0.071,0.054,0.968
"12",0.053,0.086,0.077,0.046,0.214,0.083,0.046,0.982
"13",0.091,0.121,0.048,0.069,0.264,0.086,0.041,0.982
"14",0.09,0.086,0.074,0.075,0.284,0.105,0.063,0.995
"15",0.07,0.109,0.109,0.061,0.263,0.123,0.058,1
"16",0.097,0.102,0.087,0.077,0.356,0.102,0.057,1
"17",0.115,0.106,0.085,0.061,0.435,0.081,0.058,1
"18",0.105,0.126,0.091,0.083,0.379,0.107,0.047,1
"19",0.088,0.09,0.091,0.09,0.417,0.106,0.069,1
"20",0.084,0.103,0.091,0.087,0.413,0.116,0.051,1
"21",0.142,0.095,0.087,0.066,0.478,0.124,0.056,1
"22",0.093,0.113,0.093,0.079,0.533,0.13,0.073,1
"23",0.145,0.097,0.101,0.079,0.569,0.12,0.039,1
"24",0.122,0.097,0.107,0.084,0.543,0.104,0.069,1
"25",0.127,0.151,0.064,0.102,0.607,0.106,0.045,1
"26",0.126,0.127,0.106,0.096,0.642,0.135,0.043,1
"27",0.15,0.178,0.123,0.072,0.68,0.161,0.057,1
"28",0.12,0.172,0.107,0.099,0.702,0.163,0.055,1
"29",0.169,0.137,0.125,0.114,0.668,0.194,0.047,1
"30",0.184,0.132,0.155,0.128,0.749,0.191,0.062,1
