"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0.06,0.051,0.067,0.053,0.034,0.054,0.043,0.095
"2",0.047,0.055,0.038,0.049,0.089,0.057,0.059,0.154
"3",0.055,0.057,0.063,0.046,0.07,0.042,0.064,0.199
"4",0.041,0.067,0.048,0.049,0.089,0.044,0.055,0.304
"5",0.066,0.065,0.053,0.074,0.098,0.035,0.074,0.432
"6",0.043,0.041,0.057,0.055,0.13,0.056,0.056,0.54
"7",0.084,0.069,0.079,0.063,0.135,0.06,0.083,0.606
"8",0.068,0.064,0.062,0.055,0.18,0.057,0.084,0.71
"9",0.051,0.063,0.061,0.07,0.17,0.064,0.088,0.759
"10",0.055,0.077,0.069,0.072,0.201,0.073,0.121,0.841
"11",0.058,0.067,0.072,0.059,0.226,0.063,0.119,0.862
"12",0.056,0.063,0.051,0.047,0.251,0.06,0.12,0.911
"13",0.066,0.096,0.074,0.055,0.277,0.063,0.116,0.932
"14",0.068,0.081,0.061,0.062,0.326,0.079,0.183,0.98
"15",0.071,0.069,0.087,0.065,0.28,0.08,0.195,0.976
"16",0.073,0.092,0.082,0.068,0.356,0.083,0.165,0.983
"17",0.079,0.097,0.078,0.066,0.395,0.08,0.155,0.993
"18",0.093,0.103,0.077,0.061,0.435,0.079,0.164,0.996
"19",0.086,0.076,0.096,0.082,0.48,0.099,0.21,0.995
"20",0.056,0.097,0.078,0.086,0.486,0.112,0.21,0.999
"21",0.096,0.07,0.088,0.076,0.492,0.109,0.233,0.998
"22",0.09,0.113,0.091,0.074,0.532,0.094,0.251,0.996
"23",0.083,0.085,0.08,0.064,0.558,0.074,0.218,1
"24",0.091,0.113,0.093,0.068,0.534,0.08,0.287,1
"25",0.119,0.108,0.055,0.073,0.557,0.095,0.296,1
"26",0.107,0.096,0.097,0.061,0.648,0.112,0.32,1
"27",0.122,0.115,0.135,0.071,0.667,0.135,0.327,1
"28",0.097,0.135,0.091,0.069,0.749,0.11,0.33,1
"29",0.154,0.096,0.115,0.082,0.688,0.128,0.357,1
"30",0.148,0.124,0.134,0.113,0.787,0.142,0.374,1
