"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0.47,0.5,0.43,0.45,0.16,0.41,0.05,0.42
"2",0.81,0.85,0.71,0.71,0.19,0.8,0.09,0.73
"3",0.96,0.93,0.88,0.96,0.18,0.93,0.13,0.91
"4",0.98,0.95,0.93,0.98,0.3,0.98,0.05,0.96
"5",0.99,0.98,1,1,0.43,0.98,0.04,0.99
"6",1,1,1,0.99,0.49,1,0.11,1
"7",1,1,1,1,0.53,1,0.13,1
"8",1,1,1,1,0.52,1,0.08,1
"9",1,1,1,1,0.56,1,0.05,1
"10",1,1,1,1,0.72,1,0.08,1
"11",1,1,1,1,0.69,1,0.08,1
"12",1,1,1,1,0.74,1,0.02,1
"13",1,1,1,1,0.81,1,0.03,1
"14",1,1,1,1,0.82,1,0.13,1
"15",1,1,1,1,0.79,1,0.11,1
"16",1,1,1,1,0.88,1,0.07,1
"17",1,1,1,1,0.91,1,0.16,1
"18",1,1,1,1,0.93,1,0.14,1
"19",1,1,1,1,0.92,1,0.13,1
"20",1,1,1,1,0.93,1,0.14,1
"21",1,1,1,1,0.93,1,0.18,1
"22",1,1,1,1,0.95,1,0.2,1
"23",1,1,1,1,0.98,1,0.15,1
"24",1,1,1,1,1,1,0.12,1
"25",1,1,1,1,0.99,1,0.16,1
"26",1,1,1,1,0.97,1,0.08,1
"27",1,1,1,1,0.99,1,0.16,1
"28",1,1,1,1,1,1,0.14,1
"29",1,1,1,1,1,1,0.15,1
"30",1,1,1,1,1,1,0.18,1
