"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0.01,0.05,0.06,0.04,0.06,0.05,0.04,0.08
"2",0.06,0.03,0.1,0.09,0.05,0.13,0.02,0.07
"3",0.13,0.14,0.14,0.08,0.04,0.18,0.03,0.15
"4",0.14,0.1,0.2,0.13,0.06,0.1,0.07,0.13
"5",0.19,0.27,0.17,0.16,0.08,0.2,0.02,0.19
"6",0.15,0.2,0.15,0.28,0.09,0.25,0.07,0.25
"7",0.31,0.33,0.23,0.34,0.14,0.37,0.09,0.35
"8",0.38,0.38,0.47,0.34,0.12,0.53,0.03,0.32
"9",0.39,0.45,0.44,0.39,0.16,0.41,0.06,0.4
"10",0.61,0.48,0.5,0.54,0.21,0.61,0.09,0.49
"11",0.68,0.54,0.67,0.72,0.25,0.55,0.05,0.63
"12",0.73,0.71,0.57,0.69,0.27,0.71,0.07,0.69
"13",0.77,0.71,0.7,0.77,0.32,0.8,0.11,0.78
"14",0.84,0.84,0.75,0.81,0.34,0.77,0.07,0.78
"15",0.82,0.9,0.85,0.89,0.48,0.79,0.01,0.87
"16",0.94,0.92,0.85,0.93,0.59,0.92,0.05,0.86
"17",0.96,0.93,0.93,0.96,0.5,0.94,0.03,0.95
"18",0.98,0.98,0.97,0.97,0.81,0.96,0.04,0.95
"19",0.97,1,0.98,0.99,0.75,0.99,0.05,0.99
"20",0.99,0.98,0.99,0.98,0.8,0.99,0.06,0.99
"21",1,1,0.99,1,0.82,1,0.06,1
"22",1,1,1,1,0.91,1,0.06,0.99
"23",1,1,1,1,0.96,1,0.07,1
"24",1,1,1,1,0.95,1,0.04,1
"25",1,1,1,1,0.98,1,0.08,1
"26",1,1,1,1,1,1,0.15,1
"27",1,1,1,1,1,1,0.08,1
"28",1,1,1,1,1,1,0.15,1
"29",1,1,1,1,1,1,0.12,1
"30",1,1,1,1,1,1,0.25,1
