"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0.03,0.04,0.06,0.03,0.09,0.02,0.06,0.08
"2",0.06,0.06,0.09,0.06,0.04,0.13,0.04,0.08
"3",0.13,0.11,0.18,0.09,0.09,0.13,0.08,0.11
"4",0.18,0.14,0.22,0.13,0.12,0.15,0.11,0.16
"5",0.25,0.25,0.17,0.12,0.23,0.16,0.09,0.17
"6",0.21,0.2,0.17,0.23,0.28,0.2,0.19,0.28
"7",0.32,0.27,0.26,0.37,0.27,0.31,0.19,0.34
"8",0.37,0.34,0.5,0.35,0.37,0.51,0.2,0.3
"9",0.32,0.46,0.45,0.41,0.4,0.39,0.29,0.37
"10",0.58,0.52,0.53,0.53,0.58,0.55,0.31,0.44
"11",0.63,0.55,0.75,0.67,0.55,0.52,0.38,0.63
"12",0.73,0.78,0.63,0.65,0.64,0.67,0.48,0.71
"13",0.66,0.77,0.74,0.72,0.76,0.77,0.45,0.78
"14",0.83,0.81,0.84,0.78,0.78,0.75,0.54,0.75
"15",0.83,0.88,0.84,0.83,0.85,0.77,0.66,0.91
"16",0.91,0.89,0.92,0.94,0.89,0.89,0.77,0.87
"17",0.96,0.94,0.92,0.96,0.91,0.93,0.66,0.95
"18",0.96,1,0.98,0.96,0.97,0.91,0.8,0.96
"19",0.95,1,0.99,0.99,0.96,0.96,0.8,1
"20",0.99,0.97,1,0.97,1,1,0.93,0.99
"21",1,1,0.99,1,0.98,1,0.95,1
"22",1,1,1,1,1,1,0.95,0.99
"23",1,1,1,1,1,1,0.96,1
"24",1,0.99,1,1,1,0.99,0.97,1
"25",1,1,1,1,1,1,1,1
"26",1,1,1,1,1,1,1,1
"27",1,1,1,1,1,1,1,1
"28",1,1,1,1,1,1,0.99,1
"29",1,1,1,1,1,1,1,1
"30",1,1,1,1,1,1,1,1
