"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0.21,0.24,0.22,0.25,0.1,0.16,0.05,0.22
"2",0.41,0.42,0.39,0.35,0.11,0.44,0.11,0.35
"3",0.67,0.56,0.55,0.65,0.06,0.53,0.11,0.51
"4",0.69,0.67,0.53,0.6,0.2,0.72,0.04,0.64
"5",0.75,0.78,0.69,0.81,0.26,0.76,0.02,0.82
"6",0.88,0.78,0.78,0.79,0.18,0.83,0.08,0.87
"7",0.95,0.93,0.87,0.95,0.24,0.92,0.1,0.88
"8",0.95,0.92,0.93,0.92,0.24,0.98,0.09,0.95
"9",0.96,0.95,0.93,0.93,0.26,0.98,0.03,0.97
"10",1,0.96,0.99,0.98,0.4,0.96,0.07,0.98
"11",0.99,0.99,0.96,0.99,0.26,0.99,0.06,0.98
"12",0.98,0.98,0.97,0.99,0.35,1,0.01,0.98
"13",0.99,0.98,1,1,0.43,1,0.02,1
"14",1,1,1,0.97,0.42,1,0.08,1
"15",0.99,1,1,1,0.43,1,0.08,1
"16",1,1,1,1,0.41,1,0.06,1
"17",0.99,1,0.99,1,0.51,1,0.13,1
"18",1,1,0.99,1,0.55,1,0.12,1
"19",1,1,1,1,0.49,1,0.09,1
"20",1,1,1,1,0.54,1,0.08,1
"21",1,1,1,1,0.57,1,0.09,1
"22",1,1,1,1,0.68,1,0.14,1
"23",1,1,1,1,0.73,1,0.1,1
"24",1,1,1,1,0.72,1,0.11,1
"25",1,1,1,1,0.73,1,0.12,1
"26",1,1,1,1,0.7,1,0.05,1
"27",1,1,1,1,0.76,1,0.12,1
"28",1,1,1,1,0.81,1,0.09,1
"29",1,1,1,1,0.76,1,0.07,1
"30",1,1,1,1,0.76,1,0.1,1
