"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0.07,0.1,0.03,0.05,0.1,0.07,0.05,0.07
"2",0.11,0.11,0.09,0.04,0.09,0.14,0.07,0.06
"3",0.14,0.1,0.13,0.11,0.09,0.07,0.1,0.13
"4",0.14,0.13,0.17,0.15,0.17,0.18,0.07,0.21
"5",0.2,0.16,0.13,0.16,0.18,0.1,0.1,0.16
"6",0.26,0.23,0.18,0.22,0.2,0.15,0.19,0.25
"7",0.26,0.23,0.25,0.36,0.3,0.34,0.21,0.25
"8",0.4,0.28,0.41,0.36,0.3,0.35,0.23,0.26
"9",0.35,0.37,0.35,0.38,0.26,0.37,0.13,0.38
"10",0.36,0.41,0.52,0.45,0.46,0.44,0.23,0.41
"11",0.47,0.54,0.52,0.53,0.62,0.52,0.37,0.39
"12",0.51,0.62,0.56,0.54,0.46,0.48,0.3,0.53
"13",0.5,0.57,0.62,0.62,0.53,0.73,0.3,0.52
"14",0.68,0.71,0.65,0.58,0.7,0.67,0.4,0.66
"15",0.6,0.62,0.66,0.66,0.59,0.69,0.51,0.62
"16",0.7,0.65,0.7,0.75,0.69,0.75,0.53,0.71
"17",0.64,0.87,0.69,0.74,0.74,0.68,0.55,0.7
"18",0.81,0.85,0.84,0.75,0.73,0.79,0.54,0.72
"19",0.83,0.89,0.83,0.8,0.85,0.89,0.61,0.81
"20",0.87,0.8,0.83,0.88,0.81,0.86,0.62,0.85
"21",0.89,0.91,0.88,0.89,0.92,0.93,0.71,0.87
"22",0.9,0.94,0.89,0.89,0.95,0.9,0.78,0.93
"23",0.89,0.87,0.92,0.87,0.93,0.92,0.77,0.94
"24",0.96,0.92,0.93,0.95,0.91,0.96,0.72,0.91
"25",0.93,0.98,0.97,0.97,0.97,0.96,0.85,0.97
"26",0.99,0.94,0.99,0.97,0.96,0.98,0.87,0.95
"27",1,0.98,0.97,0.98,0.99,0.96,0.87,0.99
"28",1,0.98,0.98,0.99,0.99,0.98,0.83,0.96
"29",0.98,1,1,0.97,1,0.97,0.91,1
"30",0.99,1,1,0.98,1,0.99,0.95,1
